,W
0,0.022441
1,0.0224402
2,0.0224408
3,0.0224424
4,0.0224435
5,0.022444
6,0.0224432
7,0.022442700000000003
8,0.022443
9,0.022444299999999997
10,0.0224459
11,0.0224476
12,0.022446599999999997
13,0.0224452
14,0.0224415
15,0.022440099999999998
16,0.022439599999999997
17,0.0224395
18,0.0224414
19,0.022443599999999998
20,0.022443400000000002
21,0.0224438
22,0.0224435
23,0.022445
24,0.0224486
25,0.022449700000000003
26,0.022449
27,0.022447799999999997
28,0.022444799999999997
29,0.0224425
30,0.0224421
31,0.0224422
32,0.0224438
33,0.0224447
34,0.0224458
35,0.0224454
36,0.0224456
37,0.0224461
38,0.022446900000000002
39,0.0224483
40,0.0224486
41,0.0224467
42,0.0224446
43,0.0224438
44,0.0224442
45,0.0224446
46,0.022444799999999997
47,0.0224454
48,0.0224465
49,0.022446200000000003
50,0.0224476
51,0.022447799999999997
52,0.0224476
53,0.022447099999999998
54,0.0224483
55,0.0224485
56,0.0224468
57,0.0224456
58,0.0224451
59,0.0224454
60,0.0224453
61,0.0224457
62,0.0224472
63,0.0224473
64,0.022446999999999998
65,0.022447099999999998
66,0.0224468
67,0.022447099999999998
68,0.0224465
69,0.0224457
70,0.022444099999999998
71,0.022443599999999998
72,0.0224428
73,0.0224433
74,0.022442900000000002
75,0.022443599999999998
76,0.0224445
77,0.0224456
78,0.022446900000000002
79,0.0224463
80,0.0224447
81,0.022444099999999998
82,0.0224453
83,0.0224452
84,0.0224438
85,0.0224425
86,0.022440599999999998
87,0.0224403
88,0.0224411
89,0.022443
90,0.0224446
91,0.0224449
92,0.0224447
93,0.022444799999999997
94,0.022444299999999997
95,0.0224438
96,0.0224445
97,0.0224457
98,0.022444099999999998
99,0.022442900000000002
100,0.0224405
101,0.02244
102,0.0224407
103,0.0224415
104,0.022443900000000003
105,0.022445
106,0.022444400000000003
107,0.022443400000000002
108,0.022443900000000003
109,0.0224446
110,0.022444799999999997
111,0.0224461
112,0.0224461
113,0.0224433
114,0.022440900000000003
115,0.0224395
116,0.022439599999999997
117,0.0224408
118,0.022442700000000003
119,0.0224437
120,0.0224445
121,0.0224445
122,0.022445
123,0.022446200000000003
124,0.02245
125,0.0224521
126,0.022451699999999998
127,0.0224493
128,0.0224459
129,0.0224428
130,0.0224421
131,0.022443400000000002
132,0.0224454
133,0.0224458
134,0.0224459
135,0.0224467
136,0.022446599999999997
137,0.022446999999999998
138,0.0224486
139,0.022450400000000002
140,0.022450400000000002
141,0.0224472
142,0.0224442
143,0.0224418
144,0.0224424
145,0.0224449
146,0.0224456
147,0.022446999999999998
148,0.0224484
149,0.022447799999999997
150,0.0224473
151,0.0224477
152,0.0224472
153,0.022447799999999997
154,0.022449
155,0.0224473
156,0.0224457
157,0.0224455
158,0.022444799999999997
159,0.0224445
160,0.0224465
161,0.0224475
162,0.0224485
163,0.0224476
164,0.022447099999999998
165,0.022447099999999998
166,0.0224472
167,0.0224468
168,0.022447400000000003
169,0.022446999999999998
170,0.0224449
171,0.0224433
172,0.0224435
173,0.022444799999999997
174,0.0224454
175,0.0224452
176,0.022446400000000002
177,0.0224479
178,0.0224473
179,0.0224463
180,0.0224461
181,0.0224477
182,0.0224485
183,0.0224468
184,0.0224451
185,0.0224432
186,0.0224422
187,0.022442
188,0.0224418
189,0.022444299999999997
190,0.0224458
191,0.0224461
192,0.0224451
193,0.022443400000000002
194,0.022443900000000003
195,0.0224437
196,0.0224453
197,0.0224454
198,0.022443400000000002
199,0.0224418
200,0.0224402
201,0.022439700000000003
202,0.0224403
203,0.022442300000000002
204,0.022442700000000003
205,0.022443099999999997
206,0.0224442
207,0.022443599999999998
208,0.022444299999999997
209,0.0224455
210,0.0224452
211,0.0224468
212,0.0224454
213,0.0224437
214,0.022441
215,0.0224412
216,0.0224419
217,0.022442300000000002
218,0.022443400000000002
219,0.0224452
220,0.0224442
221,0.0224454
222,0.0224475
223,0.0224483
224,0.0224503
225,0.022450799999999996
226,0.022449200000000002
227,0.0224463
228,0.022444099999999998
229,0.022444299999999997
230,0.0224447
231,0.0224453
232,0.0224458
233,0.0224455
234,0.022446599999999997
235,0.022446999999999998
236,0.022446900000000002
237,0.0224484
238,0.0224485
239,0.0224491
240,0.0224489
241,0.0224475
242,0.0224451
243,0.022444
244,0.0224432
245,0.022443400000000002
246,0.0224447
247,0.0224468
248,0.0224482
249,0.0224486
250,0.022448
251,0.0224476
252,0.0224488
253,0.022449900000000002
254,0.0224498
255,0.0224475
256,0.0224457
257,0.022444400000000003
258,0.0224455
259,0.0224454
260,0.0224458
261,0.022446900000000002
262,0.0224487
263,0.0224479
264,0.022447799999999997
265,0.022447799999999997
266,0.0224479
267,0.022446999999999998
268,0.022446200000000003
269,0.0224456
270,0.0224453
271,0.0224459
272,0.0224456
273,0.022446599999999997
274,0.0224472
275,0.022447799999999997
276,0.0224481
277,0.022449200000000002
278,0.0224484
279,0.022447400000000003
280,0.022446999999999998
281,0.022446900000000002
282,0.0224468
283,0.022446
284,0.0224446
285,0.0224424
286,0.0224414
287,0.0224416
288,0.0224433
289,0.022443400000000002
290,0.0224452
291,0.0224467
292,0.0224468
293,0.0224458
294,0.0224457
295,0.0224455
296,0.0224468
297,0.0224479
298,0.0224455
299,0.022443400000000002
300,0.022441
301,0.022440099999999998
302,0.0224415
303,0.022442900000000002
304,0.022444099999999998
305,0.0224447
306,0.0224453
307,0.022444
308,0.0224451
309,0.0224468
310,0.0224489
311,0.0224488
312,0.022448
313,0.0224451
314,0.0224422
315,0.0224403
316,0.0224412
317,0.022443099999999997
318,0.022445
319,0.0224458
320,0.0224458
321,0.022446
322,0.0224459
323,0.0224483
324,0.022450400000000002
325,0.0224493
326,0.0224484
327,0.022446999999999998
328,0.0224442
329,0.0224432
330,0.0224428
331,0.0224446
332,0.0224461
333,0.0224468
334,0.022447400000000003
335,0.0224467
336,0.022447099999999998
337,0.022448
338,0.0224487
339,0.0224491
340,0.0224484
341,0.0224465
342,0.0224456
343,0.0224453
344,0.0224457
345,0.022446900000000002
346,0.0224484
347,0.0224486
348,0.0224487
349,0.0224482
350,0.022448
351,0.0224487
352,0.0224493
353,0.022450799999999996
354,0.022450099999999997
355,0.0224483
356,0.022446599999999997
357,0.0224456
358,0.022446
359,0.022446900000000002
360,0.0224481
361,0.0224479
362,0.0224486
363,0.0224488
364,0.0224488
365,0.022449
366,0.022449
367,0.022447400000000003
368,0.022446400000000002
369,0.0224456
370,0.022444400000000003
371,0.0224433
372,0.0224432
373,0.0224442
374,0.022446400000000002
375,0.022447099999999998
376,0.0224476
377,0.0224472
378,0.022446900000000002
379,0.0224463
380,0.0224453
381,0.0224457
382,0.0224456
383,0.022444
384,0.022442700000000003
385,0.0224416
386,0.022441
387,0.0224424
388,0.0224432
389,0.022443900000000003
390,0.0224451
391,0.022444
392,0.022444
393,0.0224418
394,0.022442900000000002
395,0.022444099999999998
396,0.0224445
397,0.022443599999999998
398,0.0224428
399,0.022442700000000003
400,0.0224421
401,0.0224425
402,0.022443400000000002
403,0.022444299999999997
404,0.022446200000000003
405,0.022447400000000003
406,0.0224451
407,0.0224453
408,0.0224455
409,0.022446200000000003
410,0.022446999999999998
411,0.0224467
412,0.0224457
413,0.022443400000000002
414,0.0224412
415,0.022441299999999997
416,0.0224425
417,0.0224438
418,0.0224449
419,0.0224453
420,0.0224447
421,0.0224454
422,0.0224453
423,0.0224486
424,0.0224502
425,0.0224513
426,0.022449900000000002
427,0.0224468
428,0.0224445
429,0.0224435
430,0.022444099999999998
431,0.0224449
432,0.0224457
433,0.0224472
434,0.022447099999999998
435,0.0224473
436,0.022447799999999997
437,0.022449700000000003
438,0.022451699999999998
439,0.022451699999999998
440,0.0224498
441,0.022448
442,0.0224442
443,0.0224424
444,0.022444299999999997
445,0.0224459
446,0.0224475
447,0.0224495
448,0.022449
449,0.022449200000000002
450,0.022448
451,0.0224484
452,0.0224495
453,0.0224489
454,0.0224487
455,0.022447099999999998
456,0.0224454
457,0.0224459
458,0.022446999999999998
459,0.0224475
460,0.022447400000000003
461,0.0224485
462,0.0224498
463,0.0224487
464,0.0224487
465,0.022448
466,0.0224468
467,0.0224473
468,0.0224472
469,0.0224463
470,0.022444799999999997
471,0.022444
472,0.0224451
473,0.0224445
474,0.0224461
475,0.0224482
476,0.0224491
477,0.0224477
478,0.0224468
479,0.0224472
